"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
226,"ALGN","Align Technology, Inc.","Healthcare","Medical Appliances & Equipment","USA",31821.40,84.52,367.92,4.02%,794278
227,"ALGT","Allegiant Travel Company","Services","Regional Airlines","USA",2187.63,14.19,121.40,-0.45%,113557
228,"ALIM","Alimera Sciences, Inc.","Healthcare","Drug Manufacturers - Major","USA",69.36,,0.93,-6.00%,170054
229,"ALJJ","ALJ Regional Holdings, Inc.","Services","Business Services","USA",76.94,5.62,2.00,1.64%,21181
230,"ALK","Alaska Air Group, Inc.","Services","Regional Airlines","USA",7586.35,13.72,61.60,0.85%,1853455
231,"ALKS","Alkermes plc","Healthcare","Biotechnology","Ireland",6929.02,,44.64,2.67%,498339
232,"ALL","The Allstate Corporation","Financial","Property & Casualty Insurance","USA",34538.91,12.48,97.54,3.05%,2730065
233,"ALLE","Allegion plc","Services","Security & Protection Services","Ireland",7714.00,23.63,81.20,0.40%,348552
234,"ALLT","Allot Communications Ltd.","Technology","Communication Equipment","Israel",176.67,,5.26,1.94%,25734
235,"ALLY","Ally Financial Inc.","Financial","Mortgage Investment","USA",11630.82,11.46,26.36,-1.05%,5287338
